archetype_id,archetype_name,segment,sentiment_score,engagement_likelihood,conversion_impact,share_likelihood,initial_reaction,emotional_response,switching_risk,what_would_improve
asu_online_prospect,Sarah Kim,competitor,0.2,0.65,0.1,0.05,"The '3-week risk-free trial' and '$0 Application Fee' definitely caught my eye because they address my financial concerns directly. However, the prominent 'Request More Information' form right at the top, before I've fully understood the value proposition, made me almost skip. It feels like a premature push for contact information.",skeptical,0.3,"To truly sway me, UAGC needs to provide concrete, data-driven evidence of employer recognition and career outcomes for its graduates. Specific testimonials from Phoenix-area employers or alumni who have advanced their careers directly because of a UAGC degree would be highly impactful. Information on faculty credentials beyond 'seasoned faculty' would also add credibility."
dual_enrollment_hs,Jordan Taylor,prospective_student,0.3405140736,0.7202570367999999,0.22700938240000001,0.816880864,"Okay, UA, but online. Risk-free trial sounds good, but what about actual credit? That form is a bit much right away.",skeptical,0.7,"Definitely more direct info on how credits transfer to other Arizona public universities, and something that says my high school counselor would be on board. A scholarship teaser would also be clutch."
traditional_mom,Linda Martinez,parent_family,0.65,0.85,0.7,0.2,"I am cautiously optimistic. The 'University of Arizona' name immediately catches my eye, indicating potential reputability. The '3-week risk-free trial' is very appealing as it addresses my concerns about online scams and financial commitment, but I still need to verify their outcomes.",reassured,0.5,"Providing an easily accessible and transparent outcomes dashboard with statistics on graduate employment rates, average starting salaries, and further education placements would significantly improve my confidence. Also, clearer articulation of the direct affiliation with the main University of Arizona."
older_adult_reinvention,Patricia Sandoval,prospective_student,0.522176,0.861088,0.364784,0.20924000000000004,The mention of 'flexible scheduling' and especially the '3-week risk-free trial' immediately caught my eye. It sounds like they understand the challenges of going back to school later in life and aren't rushing you into a commitment.,inspired,0.6,"Explicit information on prior learning assessment or credit transfer policies for very old credits, and clear details about specific technical support and resources for adult learners or those with technology anxiety."
liberal_arts_explorer,Jordan Chen-Nakamura,prospective_student,0.4,0.8,0.6,0.1,"Okay, this 'risk-free trial' thing actually sounds kinda legit, but do I *really* gotta fill out all that stuff just to see what programs they have? Like, I just got here.",skeptical,0.5,"More prominent info on specific degree programs without having to fill out a form, especially for exploratory/liberal arts options. Maybe some student testimonials that aren't stock photos."
mid_career_leader,Robert Chen,prospective_student,0.1169344,0.5084671999999999,-0.2887104,0.057055999999999996,"The headline 'Discover Online School Done Right' is generic. However, the '3-week risk-free trial' is an interesting proposition, as is the 'one class at a time' structure. My immediate concern is the request for personal information without sufficient programmatic detail.",skeptical,0.7,"Providing specific information about executive leadership program curriculum, faculty credentials (especially for those with significant industry leadership experience), and clear post-graduation career support or networking opportunities would significantly improve my perception. A guarantee for faculty accessibility, such as office hours, would also be beneficial."
veteran_business,James Mitchell,prospective_student,0.2383536956751872,0.7191768478375936,0.0255691304501248,0.015980706531328003,"Okay, 'Discover Online School Done Right' is a bold claim. I'm looking for a straightforward path to a Business degree that respects my time and military background. The risk-free trial sounds good, but I need to see the details.",skeptical,0.6,"Clear, upfront information on GI Bill process, military credit transfer, and veteran support resources. A 'Veterans' tab or section prominently displayed would be a significant improvement."
gig_worker_upskill,Jayden Thompson,prospective_student,0.6,0.9,0.7,0.2,"Okay, 'Online School Done Right' sounds a bit like marketing fluff, but 'flexible scheduling' and '3-week risk-free trial' actually caught my eye. No SAT/GRE required is cool too, takes some pressure off. The University of Arizona brand name definitely stands out, even with 'Global Campus' tacked on.",skeptical,0.6,"Show me the money! Like, actual flexible payment plans, specific financial aid info for gig workers, not just 'we understand.' And maybe a few bullet points about entrepreneurship-focused courses in Business or IT programs."
criminal_justice_prospect,Marcus Rivera,prospective_student,0.3,0.7,0.1,0.1,"Alright, let's see what this 'online school done right' is about. The flexibility sounds good, but I gotta see the details.",skeptical,0.6,"Show me the Criminal Justice program upfront, with details on how it prepares you for promotion or federal roles, and some actual cost breakdowns."
grandmother_rosa,Rosa Hernandez,parent_family,0.42034379776,0.8101718988800001,-0.18643746816,0.3084765824,"Ay, Dios mío, this sounds good for mi nieto with the flexible part and trying it free, but all these computer words and the form make me nervous.",anxious,0.7,"A phone number to call and speak with someone in Spanish, or an option to have someone call *me* to explain everything without filling out this online form."
military_spouse,Pat Sullivan,parent_family,0.6151603199999999,0.8075801600000001,0.5101068799999999,0.40631680000000003,"Okay, this looks pretty solid. 'Online School Done Right' and 'flexible scheduling' caught my eye right away. The 3-week risk-free trial is a good hook, feels low pressure.",hopeful,0.3,"Adding clear language about how military family PCS moves are supported, and any specific military spouse scholarships."
lgbtq_nontraditional,Alex Reeves,prospective_student,0.3,0.6,0.2,0.1,"Okay, this hits on some practical stuff like flexibility and a trial, which is good. But immediately asking for all my info without earning trust? That's a bit much. Feels like a lead gen factory.",skeptical,0.7,"Clear, authentic statements about genuine LGBTQ+ inclusivity and specific, practical disability accommodations for ADHD students. Less corporate-speak, more real talk."
