"claim_id","category","prototype_claim","pages","recommended_source","source_url","period","status","recommended_canonical","notes"
"finaid-86pct","financial_aid","86% of students receive financial aid or scholarships","request-info-v5; degree-programs-v7; OCC; organic homepage; online-degrees hub","Do not use - superseded by live 94%","https://www.uagc.edu/tuition-financial-aid","Pre-2023-24 snapshots","outdated_vs_live","94% of UAGC undergraduate students obtain grant or scholarship aid (2023-2024 IPEDS; excludes loans)","Replace everywhere; TuitionSection bridge still says 86%"
"finaid-94pct","financial_aid","94% obtain grant or scholarship aid","TuitionSection FAFSA card; WaysToSave","UAGC tuition page + IPEDS SFA","https://www.uagc.edu/tuition-financial-aid","2023-2024 IPEDS","verified_live","94% of UAGC undergraduate students obtain grant or scholarship aid (2023-2024 IPEDS; excludes loans)","Canonical aid claim"
"finaid-pell-31pct","financial_aid","31% of UAGC undergrads receive Pell Grants","TuitionSection","UAGC tuition page + IPEDS","https://www.uagc.edu/tuition-financial-aid","2023-2024 IPEDS","verified_live","31% receive Pell Grants (2023-2024 IPEDS)","On live tuition page"
"finaid-loans-36pct","financial_aid","36% use federal loans","TuitionSection","UAGC tuition page + IPEDS","https://www.uagc.edu/tuition-financial-aid","2023-2024 IPEDS","verified_live","36% use federal loans (2023-2024 IPEDS)","On live tuition page"
"finaid-pell-amount","financial_aid","Pell Grants up to $7395/year","TuitionSection; WaysToSave","Federal Student Aid Pell maximum","","Award-year dependent","verified_live","Confirm current award-year Pell max before publish","Verify annually"
"finaid-employer-1500","financial_aid","1500+ employer tuition partners","CRED-01; FAQs; hub","Employer partnerships","https://www.uagc.edu/partnerships/organizations","Current","verified_live","1500+ employer partners","Matches live"
"finaid-avg-transfer-415","financial_aid","Average students transfer 41.5 credits","TuitionSection; OCC SKEPT; WaysToSave","","","","unverified","","No public source - remove or source from registrar"
"tuition-undergrad","tuition","$485 per credit undergraduate","Paid pages; hub; FAQs","Live tuition page","https://www.uagc.edu/tuition-financial-aid","Current catalog","outdated_vs_live","$460 per credit undergraduate","Live = $460"
"tuition-graduate","tuition","$625 per credit graduate","Paid pages; FAQs","Live tuition page / catalog","https://www.uagc.edu/tuition-financial-aid","Current","outdated_vs_live","Graduate from $600 per credit (some programs $740)","Live often $600"
"tuition-3credit-example","tuition","Typical 3-credit undergrad course = $1455","request-info-v5 FAQ","Derived from per-credit rate","","","outdated_vs_live","3 x live rate (e.g. $1380 at $460)","Recalc when rate updates"
"tuition-app-fee-0","tuition","$0 application fee / $0 to Apply","All major prototypes","Admission / Why UAGC","https://www.uagc.edu/admission/new-students","Current","verified_live","$0 to apply","Safe"
