Slide,File,Claim,Source_Section,Source_Value,Status,Flag_Number,Risk,Notes
1,index-v2.html,"11.1M sessions",GA4 §1,~11.1M,MATCH,,,
1,index-v2.html,"$8.9M ad spend",Google Ads §4,"$7.29M + $1.59M = $8.88M",ROUNDED,,,"Rounds $8.88M to $8.9M"
1,index-v2.html,"348K conversions",GA4 §1,348285,ROUNDED,,,"348,285 rounded to 348K"
1,index-v2.html,"627,000-person bouncing problem",Calculated,~5.8M annual bounces,FLAG,1,Low,"Rhetorical estimate — not exact math"
1,presenter.html,"11 million sessions / $8.9 million ad spend",GA4 §1 + Google Ads §4,Same as above,MATCH,,,
2,index-v2.html,"4.5x conversion gap","GA4 §4 Pages 1,5","13.57% / 3.01% = 4.51x",MATCH,,,
2,index-v2.html,"/request-info-v5 at 3.01%",GA4 §4 Page 1,3.01%,MATCH,,,
2,index-v2.html,"from 1.18M sessions",GA4 §4 Page 1,"1,177,574",ROUNDED,,,"1,177,574 rounded to 1.18M"
2,index-v2.html,"/degree-programs-v7 at 13.57%",GA4 §4 Page 5,13.57%,MATCH,,,
2,index-v2.html,"8-15 min blog engagement",GA4 §3,"PhD 8.1 min, Business Plan 15.2 min",MATCH,,,
2,index-v2.html,"21 conversions from 149K sessions",GA4 §3,"148,831 landing sessions / 21 conversions",ROUNDED,,,"148,831 rounded to 149K"
3,index-v2.html,"47.5% engagement rate",GA4 §1,~47.5%,MATCH,,,
3,index-v2.html,"60% mobile",GA4 §1 Device,59.9%,ROUNDED,,,"59.9% rounded to 60%"
3,index-v2.html,"45.8% mobile eng",GA4 §1 Device,45.8%,MATCH,,,
3,index-v2.html,"51.4% desktop eng",GA4 §1 Device,51.4%,MATCH,,,
3,index-v2.html,"44.6% tablet eng",GA4 §1 Device,44.6%,MATCH,,,
3,index-v2.html,"Paid Search 77.5K conv / 61% eng",GA4 §1 Channel,"77,518 / 60.7%",ROUNDED,,,
3,index-v2.html,"Display 59.6K conv / 64% eng",GA4 §1 Channel,"59,640 / 64.4%",ROUNDED,,,
3,index-v2.html,"Paid Social 53.3K conv / 42% eng",GA4 §1 Channel,"53,320 / 42.1%",ROUNDED,,,
3,index-v2.html,"Organic 27.7K / 64% eng",GA4 §1 Channel,"27,741 / 64.4%",ROUNDED,,,
3,index-v2.html,"1.91M sessions at 42% engagement (Paid Social)",GA4 §1 Channel,"1,910,315 / 42.1%",ROUNDED,,,
4,index-v2.html,"/request-info-v5: 3.01% conv / 53% bounce",GA4 §4 Page 1,"3.01% / 53.2%",ROUNDED,,,"53.2% rounded to 53%"
4,index-v2.html,"1.18M sessions / 53.2% bounce",GA4 §4 Page 1,"1,177,574 / 53.2%",MATCH,,,
4,index-v2.html,"/degree-programs-v7: 13.57% conv / 25% bounce",GA4 §4 Page 5,"13.57% / 25.1%",ROUNDED,,,"25.1% rounded to 25%"
4,index-v2.html,"222K sessions",GA4 §4 Page 5,"221,507",ROUNDED,,,
5,index-v2.html,"request-info-v5: 1,177,574 / 46.8% / 3.01% / 35,498",GA4 §4 Page 1,Exact values,MATCH,,,
5,index-v2.html,"bachelors-v5: 458,070 / 43.1% / 3.50% / 16,013",GA4 §4 Page 2,Exact values,MATCH,,,
5,index-v2.html,"military-v5: 310,713 / 52.9% / 3.07% / 9,551",GA4 §4 Page 3,Exact values,MATCH,,,
5,index-v2.html,"courses-v5: 262,257 / 74.5% / 7.25% / 19,005",GA4 §4 Page 4,Exact values,MATCH,,,
5,index-v2.html,"degree-programs-v7: 221,507 / 74.9% / 13.57% / 30,066",GA4 §4 Page 5,Exact values,MATCH,,,
5,index-v2.html,"47K additional leads at 7%",Calculated,"1,177,574 × (7% - 3.01%) = 46,993",ROUNDED,,,"46,993 rounded to 47K"
6,index-v2.html,"149K sessions / 21 conversions (PhD blog)",GA4 §3,"148,831 / 21",ROUNDED,,,"148,831 rounded to 149K"
6,index-v2.html,"67.8% engagement / 8.1 min avg",GA4 §3,"67.8% / 8.1 min",MATCH,,,
6,index-v2.html,"60,937 GSC clicks / position 3.5",GSC §3,"60,937 / 3.5",MATCH,,,
6,index-v2.html,"/online-degrees: 88.8% eng / 3,428 conv",GA4 §2,"88.8% / 3,428",MATCH,,,
6,index-v2.html,"11.2% bounce / 11.8 min avg",GA4 §2,"11.2% / 11.8 min",MATCH,,,
6,index-v2.html,"135K sessions (/online-degrees)",GA4 §2,"135,507",ROUNDED,,,"135,507 rounded to 135K"
6,index-v2.html,"2,437 leads/year at 1%",Calculated,"243,700 × 1% = 2,437",MATCH,,,
6,index-v2.html,"84 current conversions (3 blogs)",GA4 §3,"PhD 21 + Business Plan 63 = 84",MATCH,,,
6,index-v2.html,"29x improvement",Calculated,"2,437 / 84 = 29.01x",MATCH,,,
7,index-v2.html,"-41.6% Homepage",GSC §5,"90,004 → 52,559 = -41.6%",MATCH,,,
7,index-v2.html,"-31.8% Writing Center",GSC §5,"61,289 → 41,772 = -31.8%",MATCH,,,
7,index-v2.html,"-49.7% Blog (Mgmt)",GSC §5,"12,901 → 6,483 = -49.7%",MATCH,,,
7,index-v2.html,"Bar chart values (90,004/52,559 etc.)",GSC §5,Exact values,MATCH,,,
8,index-v2.html,"3.01% conv / 53% bounce (request-info-v5)",GA4 §4 Page 1,Exact,MATCH,,,"REVISED slide — now uses conv rates not CPL"
8,index-v2.html,"13.57% conv / 25% bounce (degree-programs-v7)",GA4 §4 Page 5,Exact,MATCH,,,
8,index-v2.html,"1.18M sessions (v5)",GA4 §4 Page 1,"1,177,574",ROUNDED,,,
8,index-v2.html,"222K sessions (v7)",GA4 §4 Page 5,"221,507",ROUNDED,,,
8,index-v2.html,"Content checklist (tuition/outcomes/dates/testimonials/program)",Manual audit,Verified on live pages,MATCH,,,
8,index-v2.html,"REMOVED: $29 Military Display",Google Ads §4 Page 3,SPAM — per Kevin VP Perf Mktg Apr 2026,REMOVED,,,"Campaigns shut down"
8,index-v2.html,"REMOVED: $1,539 PMax General",Google Ads §4 Campaigns,Conv action definitions unclear,REMOVED,,,"Deferred to Perf Mktg"
8,index-v2.html,"REMOVED: 53x comparison",Calculated,Based on invalid $29 figure,REMOVED,,,
10,index-v2.html,"1.18M sessions / 53.2% bounce / 3.01% conv",GA4 §4 Page 1,Exact,MATCH,,,
10,index-v2.html,"149K sessions / 21 conv (PhD blog)",GA4 §3,"148,831 / 21",ROUNDED,,,"148,831 rounded to 149K"
10,index-v2.html,"2,400+ leads/year",Calculated,"243K × 1% = 2,430",ROUNDED,,,
10,index-v2.html,"Organic down 42-50%",GSC §5,"-41.6% to -49.7%",MATCH,,,
11,index-v2.html,"13.57% is the ceiling (different channel)",GA4 §4 Page 5,"Display traffic",MATCH,,,"REVISED — no longer claims +124K"
11,index-v2.html,"7% working target",GA4 §4 Page 4,"online-college-courses at 7.25%",MATCH,,,
11,index-v2.html,"3% to 7% doubles conversions",Calculated,"1,177,574 × (7% - 3.01%) = ~47K",MATCH,,,
11,presenter.html,"3% to 7% doubles… existing traffic",Calculated,"82,430 - 35,498 = 46,932",ROUNDED,,,"46,932 — consistent"
12,index-v2.html,"53% → <40% bounce (target)",GA4 §4 Page 1,53.2% is current,MATCH,,,"Target not a data claim"
12,index-v2.html,"21 → 1,490+ blog leads",Calculated,"149K × 1% = 1,490",MATCH,,,
12,index-v2.html,"-12pp → <5pp mobile gap",GA4 device split,"mobile eng 45.8% vs desktop 51.4%",MATCH,,,"Replaced PMax metric"
12,presenter.html,"$8.9M to pages that bounce 53%",Google Ads §4 + GA4,"$8.9M is total spend; only ~$807K goes to the 53% bounce page",FLAG,3,Medium,"Overstates scope — $8.9M is all campaigns not just /request-info-v5"
